"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"78"	559.807625	507.76656875	570.94854375	455.2644875	542.92555625	569.43401875	505.5869375	539.502775	496.46691875	538.1796125	553.04888125	573.9270875	613.917075	567.49495625	481.8306	497.9789375
"79"	121.199085	128.992375	161.1635625	161.82616875	162.18994375	142.61154375	161.5738125	200.4431	131.22126875	146.17665	109.7928375	124.65518125	109.413026875	116.9070275	148.9996375	166.05726875
"80"	1185.4464625	1136.0116625	1124.70696875	1178.5543625	1171.678425	1242.52275	1109.2826875	1143.533925	1133.10593125	1175.19880625	1280.20860625	1032.78103125	1282.669425	1340.3986625	1324.9676375	1154.1907
"81"	409.34275	642.1862	484.68809375	488.924975	481.8306	465.28708125	753.195825	438.839125	485.7613375	514.86799375	756.121475	483.61586875	521.33320625	570.14828125	440.25100625	442.89325
"82"	669.33246875	706.36008125	629.223775	582.436025	836.6505125	575.0209625	666.357975	559.807625	541.47385625	687.66148125	583.11810625	657.52461875	603.531425	546.24005625	590.6063875	625.6937875
"83"	4311.0284375	5927.6655	3991.7996875	3831.3576875	4311.0284375	4840.020375	5201.9641875	4035.3693125	3953.5145625	3991.7996875	5178.828375	4452.6578125	4018.713625	5003.063125	4035.3693125	3713.403375
"84"	507.76656875	373.2155375	561.43248125	533.59955	462.77411875	282.58636875	415.3864	456.02994375	491.09173125	507.76656875	426.27049375	346.7416375	508.87595625	562.17145625	473.2614875	459.90990625
"85"	424.30171875	397.0559625	456.68218125	477.61015	549.76254375	465.8356	480.2715625	433.77890625	385.60971875	414.8708375	415.3864	462.06829375	495.7744875	378.479	438.28035625	380.94108125
"86"	185.6554625	174.5427375	238.27493125	206.46678125	218.4916375	205.0668125	180.9713125	220.23188125	219.96529375	219.51486875	156.56661875	248.37996875	164.55220625	163.811425	240.97455	207.25365
"87"	11000.0025	11278.02925	9858.8456875	10309.9631875	11092.614625	10809.1315	11092.614625	11278.02925	11092.614625	11381.9018125	10892.6958125	11092.614625	11092.614625	10892.6958125	11183.9325	11694.4764375
"88"	5151.5594375	4936.845125	5482.715125	4970.6896875	4803.5375	5459.3765	4875.3990625	5064.9144375	4636.2321875	5311.0550625	4748.7385	5739.613	5178.828375	4636.2321875	4936.845125	5459.3765
"89"	237.37525625	256.12508125	286.558825	238.7586	268.583975	267.7657875	270.20674375	274.48523125	231.415475	254.0806375	227.987	261.64070625	225.50741875	215.47940625	244.30040625	282.58636875
"90"	11278.02925	10114.8800625	10548.756	12153.99125	9679.44475	10309.9631875	10643.85275	11796.119125	12153.99125	11694.4764375	11796.119125	11911.60325	10731.38525	11092.614625	13092.0876875	12298.1259375
"91"	126.3680375	131.9807375	112.17378	128.5755125	105.63481625	122.547189375	126.8214	125.46199375	139.38239375	142.30010625	131.22126875	134.57243125	119.719189375	120.730414375	100.532475625	147.60255625
"92"	712.4039625	594.09709375	733.3917375	878.59154375	680.46601875	661.99913125	689.37446875	736.48996875	880.33585	665.20205625	631.472125	478.1429	665.20205625	839.36059375	850.98515	650.0348375
"93"	402.92164375	430.6895	315.96966875	1247.2833875	99.538871875	297.9725375	342.77740625	1285.628275	1351.1013375	313.62704375	1444.906125	689.37446875	396.194025	1570.749875	1548.5	218.652225
"94"	663.9612375	778.9177875	685.118975	674.9793375	609.28149375	659.0134625	672.6904625	698.00355	681.69324375	704.816775	782.8135375	665.20205625	651.9720875	730.35885	690.639925	686.39419375
"95"	169.446225	129.72978125	150.2112625	187.5929125	195.9437875	171.71356875	187.1454625	155.45294375	167.42285	146.905425	164.7689125	167.831675	161.70561875	170.01290625	147.01483125	142.30010625
"96"	246.7584875	268.583975	362.5856	348.59795625	288.965675	283.699525	378.479	290.6526	321.59056875	328.1019375	329.9226	336.71380625	348.920075	450.5836375	351.2355125	341.00106875
"97"	240.97455	227.987	220.8021	212.2217	287.031575	219.74640625	217.8458	229.72601875	228.332025	246.7584875	257.7123	263.428425	195.9437875	235.51765	213.89248125	242.93308125
"98"	908.5731375	929.294925	922.54475625	910.28175625	769.9906875	878.59154375	921.06751875	849.0589375	912.23774375	842.1231875	790.6829875	807.13776875	776.3267625	833.71138125	836.6505125	877.6431625
"99"	347.646725	375.0899	305.6718875	306.58115625	288.24805625	319.6187375	367.79384375	307.3816875	272.1747875	294.942425	325.01646875	321.1923625	350.229725	277.8905625	283.699525	303.50740625
"100"	153.8214875	140.37468125	150.05465625	133.1970375	161.82616875	119.982436875	137.582175	162.5167875	136.3709	122.750155625	136.8019125	158.25778125	140.17050625	131.45796875	176.89775625	140.48658125
"101"	149.3734	175.78446875	174.33458125	197.2925875	194.25960625	205.3079375	170.3221625	199.791275	167.61254375	199.55638125	194.0111375	180.52064375	212.99615	183.61756875	180.52064375	172.6993875
"102"	182.41640625	171.461375	146.264575	395.32996875	127.2611875	159.59168125	197.9688	337.19183125	339.4686375	167.28025	367.22826875	186.50141875	176.89775625	368.453775	402.92164375	158.7013625
